https://github.com/AlDanial/cloc v 1.66  T=28.17 s (6.7 files/s, 733.9 lines/s)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                                                                                                                                                                                  blank        comment           code
../metrics-dashboard-bash-scala/src/main/scala/gitbash/GitBashExec.scala                                                                                                                                                                                                                                                  6              5             12
../metrics-dashboard-bash-scala/.idea/libraries/SBT__jline_jline_0_9_94_jar.xml                                                                                                                                                                                                                                           0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_codehaus_jackson_jackson_jaxrs_1_8_3_jar.xml                                                                                                                                                                                                                     0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_fasterxml_jackson_module_jackson_module_paranamer_2_6_3_jar.xml                                                                                                                                                                                                  0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_uncommons_maths_uncommons_maths_1_2_2a_jar.xml                                                                                                                                                                                                                   0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__io_netty_netty_all_4_0_29_Final_jar.xml                                                                                                                                                                                                                              0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_fasterxml_jackson_core_jackson_annotations_2_6_3_jar.xml                                                                                                                                                                                                         0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_fasterxml_jackson_module_jackson_module_scala_2_10_2_6_3_jar.xml                                                                                                                                                                                                 0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_clearspring_analytics_stream_2_7_0_jar.xml                                                                                                                                                                                                                       0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_sun_jersey_jersey_server_1_9_jar.xml                                                                                                                                                                                                                             0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_curator_curator_client_2_4_0_jar.xml                                                                                                                                                                                                                      0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_scalatest_scalatest_2_11_2_2_6_jar.xml                                                                                                                                                                                                                           0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__commons_httpclient_commons_httpclient_3_1_jar.xml                                                                                                                                                                                                                    0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_slf4j_slf4j_log4j12_1_7_10_jar.xml                                                                                                                                                                                                                               0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_fasterxml_jackson_core_jackson_databind_2_6_3_jar.xml                                                                                                                                                                                                            0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_fasterxml_jackson_core_jackson_core_2_6_3_jar.xml                                                                                                                                                                                                                0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_tachyonproject_tachyon_client_0_8_2_jar.xml                                                                                                                                                                                                                      0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__asm_asm_3_1_jar.xml                                                                                                                                                                                                                                                  0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_hadoop_hadoop_yarn_client_2_2_0_jar.xml                                                                                                                                                                                                                   0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_google_guava_guava_14_0_1_jar.xml                                                                                                                                                                                                                                0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_tachyonproject_tachyon_underfs_local_0_8_2_jar.xml                                                                                                                                                                                                               0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__commons_io_commons_io_2_4_jar.xml                                                                                                                                                                                                                                    0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_spark_spark_network_common_2_10_1_6_0_jar.xml                                                                                                                                                                                                             0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_sun_jersey_contribs_jersey_guice_1_9_jar.xml                                                                                                                                                                                                                     0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_spark_spark_network_shuffle_2_10_1_6_0_jar.xml                                                                                                                                                                                                            0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_scala_lang_scala_compiler_2_10_0_jar.xml                                                                                                                                                                                                                         0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_codehaus_jackson_jackson_xc_1_8_3_jar.xml                                                                                                                                                                                                                        0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_thoughtworks_paranamer_paranamer_2_6_jar.xml                                                                                                                                                                                                                     0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_json4s_json4s_ast_2_10_3_2_10_jar.xml                                                                                                                                                                                                                            0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_curator_curator_framework_2_4_0_jar.xml                                                                                                                                                                                                                   0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_sun_jersey_jersey_json_1_9_jar.xml                                                                                                                                                                                                                               0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_typesafe_akka_akka_remote_2_10_2_3_11_jar.xml                                                                                                                                                                                                                    0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_hadoop_hadoop_yarn_server_common_2_2_0_jar.xml                                                                                                                                                                                                            0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_sun_jersey_jersey_test_framework_jersey_test_framework_grizzly2_1_9_jar.xml                                                                                                                                                                                      0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_xbean_xbean_asm5_shaded_4_4_jar.xml                                                                                                                                                                                                                       0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__aopalliance_aopalliance_1_0_jar.xml                                                                                                                                                                                                                                  0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__log4j_log4j_1_2_17_jar.xml                                                                                                                                                                                                                                           0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_hadoop_hadoop_mapreduce_client_core_2_2_0_jar.xml                                                                                                                                                                                                         0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_slf4j_jcl_over_slf4j_1_7_10_jar.xml                                                                                                                                                                                                                              0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_hadoop_hadoop_hdfs_2_2_0_jar.xml                                                                                                                                                                                                                          0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_google_inject_guice_3_0_jar.xml                                                                                                                                                                                                                                  0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__com_typesafe_akka_akka_actor_2_10_2_3_11_jar.xml                                                                                                                                                                                                                     0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_commons_commons_math3_3_4_1_jar.xml                                                                                                                                                                                                                       0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_hadoop_hadoop_common_2_2_0_jar.xml                                                                                                                                                                                                                        0              0             11
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_apache_commons_commons_math_2_1_jar.xml                                                                                                                                                                                                                          0              0             11
